scope,clock,group_by,group,cohort_episodes,events,without_clock,complete,incomplete,symbols,wins,interference,win_rate_pct,interference_rate_pct,mean_ret20_pct,median_ret20_pct,mean_mfe20_pct,mean_mae20_pct,recovered_episodes,uncovered_recoveries,right_censored,median_recovery_bars
all,recovery,component,B_BASE_BULL,4,4,0,4,0,4,2,0,50.0,0.0,3.3900110343478147,1.3321180406966118,9.237551950333911,-5.372462302293146,4,3,0,1.0
all,recovery,component,B_STAGE_COMPONENT,4,2,2,2,0,3,0,1,0.0,50.0,-9.62003599338377,-9.62003599338377,2.839489229481218,-11.263669606999505,2,1,2,2.5
all,recovery,component,B_BEAR_RECOVER,6,3,3,3,0,5,1,2,33.33333333333333,66.66666666666666,-8.547904070668379,-8.367699691929765,8.681636917945271,-18.77707613422481,3,2,3,16.0
all,recovery,component,B_CRASH_RECOVER,15,11,4,11,0,6,4,6,36.36363636363637,54.54545454545454,4.80695569503348,-0.7013850741916183,24.57146905011463,-20.25351906985751,11,2,4,6.0
all,recovery,component,multiple,0,0,0,0,0,0,0,0,,,,,,,0,0,0,
all,recovery,component,none,0,0,0,0,0,0,0,0,,,,,,,0,0,0,
eligible,setup,all,all,14,14,0,13,1,7,3,9,23.076923076923077,69.23076923076923,-10.64296299962655,-10.79083686768747,6.297664624168543,-20.674616080513957,7,7,7,2.0
eligible,setup,symbol,TQQQ,0,0,0,0,0,0,0,0,,,,,,,0,0,0,
eligible,setup,symbol,MSFT,0,0,0,0,0,0,0,0,,,,,,,0,0,0,
eligible,setup,symbol,NFLX,4,4,0,4,0,1,0,4,0.0,100.0,-17.054135731384726,-11.502506044691724,5.113153649825147,-19.72165088759328,2,2,2,2.5
eligible,setup,symbol,YINN,2,2,0,2,0,1,1,1,50.0,50.0,-25.019835618602027,-25.019835618602027,6.864154425595693,-42.908984711887776,1,1,1,16.0
eligible,setup,symbol,SNOW,0,0,0,0,0,0,0,0,,,,,,,0,0,0,
eligible,setup,symbol,TSLA,2,2,0,2,0,1,1,1,50.0,50.0,3.4145937179803076,3.4145937179803076,8.657710385052809,-13.402358352772925,1,1,1,1.0
eligible,setup,symbol,MRNA,2,2,0,1,1,1,0,1,0.0,100.0,-13.61089814324229,-13.61089814324229,2.4253606240410397,-22.815727276436093,0,0,2,
eligible,setup,symbol,NVDA,1,1,0,1,0,1,1,0,100.0,0.0,17.096318477968996,17.096318477968996,18.81027368919137,-3.979398148764457,1,1,0,1.0
eligible,setup,symbol,GOOGL,1,1,0,1,0,1,0,0,0.0,0.0,-0.6895127012850333,-0.6895127012850333,2.6044201531805644,-2.6567607701941998,1,1,0,2.0
eligible,setup,symbol,AAOI,2,2,0,2,0,1,0,2,0.0,100.0,-14.863699950902227,-14.863699950902227,3.2666207135902403,-23.904416585796078,1,1,1,66.0
eligible,setup,source_trusted,false,9,9,0,8,1,4,1,6,12.5,75.0,-16.569578125908784,-11.502506044691724,4.901338028464197,-23.772132627597372,4,4,5,2.5
eligible,setup,source_trusted,true,5,5,0,5,0,3,2,3,40.0,60.0,-1.160378797574968,-4.096931190470188,8.531787177295493,-15.718589605180494,3,3,2,1.0
eligible,setup,right_censored,false,7,7,0,7,0,6,3,3,42.857142857142854,42.857142857142854,-1.3874467329396565,-0.6895127012850333,9.398239472373616,-12.740822805964612,7,7,0,2.0
eligible,setup,right_censored,true,7,7,0,6,1,5,0,6,0.0,100.0,-21.44106531076125,-13.154655721178438,2.6803273012626234,-29.93070823415486,0,0,7,
eligible,setup,setup_before_window,false,14,14,0,13,1,7,3,9,23.076923076923077,69.23076923076923,-10.64296299962655,-10.79083686768747,6.297664624168543,-20.674616080513957,7,7,7,2.0
eligible,setup,setup_before_window,true,0,0,0,0,0,0,0,0,,,,,,,0,0,0,
eligible,setup,expiry_state,held,0,0,0,0,0,0,0,0,,,,,,,0,0,0,
eligible,setup,expiry_state,flat_native_buy,0,0,0,0,0,0,0,0,,,,,,,0,0,0,
eligible,setup,expiry_state,flat_uncovered,14,14,0,13,1,7,3,9,23.076923076923077,69.23076923076923,-10.64296299962655,-10.79083686768747,6.297664624168543,-20.674616080513957,7,7,7,2.0
eligible,setup,recovery_state,unobserved,7,7,0,6,1,5,0,6,0.0,100.0,-21.44106531076125,-13.154655721178438,2.6803273012626234,-29.93070823415486,0,0,7,
eligible,setup,recovery_state,held,0,0,0,0,0,0,0,0,,,,,,,0,0,0,
eligible,setup,recovery_state,flat_native_buy,0,0,0,0,0,0,0,0,,,,,,,0,0,0,
eligible,setup,recovery_state,flat_uncovered,7,7,0,7,0,6,3,3,42.857142857142854,42.857142857142854,-1.3874467329396565,-0.6895127012850333,9.398239472373616,-12.740822805964612,7,7,0,2.0
eligible,setup,failure,high,4,4,0,4,0,3,1,2,25.0,50.0,-7.201181264867873,-5.194195027642639,7.172246146326744,-13.71499507368194,3,3,1,2.0
eligible,setup,failure,mid,1,1,0,1,0,1,1,0,100.0,0.0,10.926118626430803,10.926118626430803,16.120712169127206,-5.0239364512877245,1,1,0,1.0
eligible,setup,failure,both,9,9,0,8,1,5,1,7,12.5,87.5,-15.059989070263054,-12.456294260405283,4.632492919969608,-26.110761537583244,3,3,6,16.0
eligible,setup,component,B_BASE_BULL,3,3,0,3,0,3,2,0,66.66666666666666,0.0,9.110974801038255,10.926118626430803,12.511802003833047,-3.886698456748794,3,3,0,1.0
eligible,setup,component,B_STAGE_COMPONENT,3,3,0,3,0,2,0,3,0.0,100.0,-19.607476326465914,-13.61089814324229,3.2332171223253603,-23.679849550735067,1,1,2,2.0
eligible,setup,component,B_BEAR_RECOVER,2,2,0,2,0,2,1,1,50.0,50.0,-1.0999717728882308,-1.0999717728882308,5.974242084457716,-24.835112095597232,1,1,1,16.0
eligible,setup,component,B_CRASH_RECOVER,6,6,0,5,1,4,0,5,0.0,100.0,-20.933814174617137,-12.698413299114586,4.537219713360079,-27.280028166607075,2,2,4,34.5
eligible,setup,component,multiple,0,0,0,0,0,0,0,0,,,,,,,0,0,0,
eligible,setup,component,none,0,0,0,0,0,0,0,0,,,,,,,0,0,0,
eligible,expiry,all,all,14,14,0,13,1,7,5,6,38.46153846153847,46.15384615384615,-0.5251785490199784,-3.6102278058956494,13.558125139472962,-14.892876318101155,7,7,7,2.0
eligible,expiry,symbol,TQQQ,0,0,0,0,0,0,0,0,,,,,,,0,0,0,
eligible,expiry,symbol,MSFT,0,0,0,0,0,0,0,0,,,,,,,0,0,0,
eligible,expiry,symbol,NFLX,4,4,0,4,0,1,0,4,0.0,100.0,-18.017921241669615,-13.446771502793652,5.235401344627882,-20.630048248196527,2,2,2,2.5
eligible,expiry,symbol,YINN,2,2,0,2,0,1,1,1,50.0,50.0,20.787179570667824,20.787179570667824,32.88351803267104,-27.71340578081957,1,1,1,16.0
eligible,expiry,symbol,SNOW,0,0,0,0,0,0,0,0,,,,,,,0,0,0,
eligible,expiry,symbol,TSLA,2,2,0,2,0,1,2,0,100.0,0.0,4.3932302897745075,4.3932302897745075,17.276200764805857,-9.124094549459283,1,1,1,1.0
eligible,expiry,symbol,MRNA,2,2,0,1,1,1,0,1,0.0,100.0,-3.6102278058956494,-3.6102278058956494,2.452354372755372,-13.055351995846287,0,0,2,
eligible,expiry,symbol,NVDA,1,1,0,1,0,1,1,0,100.0,0.0,17.442766544443057,17.442766544443057,18.326281841728775,-4.37055277741234,1,1,0,1.0
eligible,expiry,symbol,GOOGL,1,1,0,1,0,1,0,0,0.0,0.0,-2.8265130158823704,-2.8265130158823704,2.611400949870002,-4.6967050548172296,1,1,0,2.0
eligible,expiry,symbol,AAOI,2,2,0,2,0,1,1,0,50.0,0.0,1.9387591929345138,1.9387591929345138,15.80227333766452,-7.6447943269476735,1,1,1,66.0
eligible,expiry,source_trusted,false,9,9,0,8,1,4,1,6,12.5,75.0,-4.616758330890102,-10.455506959871474,11.471549595809872,-19.4623827006361,4,4,5,2.5
eligible,expiry,source_trusted,true,5,5,0,5,0,3,4,0,80.0,0.0,6.02134910197222,6.4643911505883,16.896646009333903,-7.58166610604525,3,3,2,1.0
eligible,expiry,right_censored,false,7,7,0,7,0,6,4,2,57.14285714285714,28.57142857142857,9.128173606174382,2.3220694289607158,18.490454599475093,-7.96379098513716,7,7,0,2.0
eligible,expiry,right_censored,true,7,7,0,6,1,5,1,4,16.666666666666664,66.66666666666666,-11.787422730080067,-9.368202350584976,7.80374076947048,-22.976809206559153,0,0,7,
eligible,expiry,setup_before_window,false,14,14,0,13,1,7,5,6,38.46153846153847,46.15384615384615,-0.5251785490199784,-3.6102278058956494,13.558125139472962,-14.892876318101155,7,7,7,2.0
eligible,expiry,setup_before_window,true,0,0,0,0,0,0,0,0,,,,,,,0,0,0,
eligible,expiry,expiry_state,held,0,0,0,0,0,0,0,0,,,,,,,0,0,0,
eligible,expiry,expiry_state,flat_native_buy,0,0,0,0,0,0,0,0,,,,,,,0,0,0,
eligible,expiry,expiry_state,flat_uncovered,14,14,0,13,1,7,5,6,38.46153846153847,46.15384615384615,-0.5251785490199784,-3.6102278058956494,13.558125139472962,-14.892876318101155,7,7,7,2.0
eligible,expiry,recovery_state,unobserved,7,7,0,6,1,5,1,4,16.666666666666664,66.66666666666666,-11.787422730080067,-9.368202350584976,7.80374076947048,-22.976809206559153,0,0,7,
eligible,expiry,recovery_state,held,0,0,0,0,0,0,0,0,,,,,,,0,0,0,
eligible,expiry,recovery_state,flat_native_buy,0,0,0,0,0,0,0,0,,,,,,,0,0,0,
eligible,expiry,recovery_state,flat_uncovered,7,7,0,7,0,6,4,2,57.14285714285714,28.57142857142857,9.128173606174382,2.3220694289607158,18.490454599475093,-7.96379098513716,7,7,0,2.0
eligible,expiry,failure,high,4,4,0,4,0,3,1,2,25.0,50.0,-8.77475208125902,-7.775289961003329,6.689397577958218,-16.34891109747059,3,3,1,2.0
eligible,expiry,failure,mid,1,1,0,1,0,1,1,0,100.0,0.0,2.3220694289607158,2.3220694289607158,16.93352705390698,-0.3395077342514652,1,1,0,1.0
eligible,expiry,failure,both,9,9,0,8,1,5,3,4,37.5,50.0,3.2437022198519556,-4.088578203801291,16.570563680926085,-15.984030001397649,3,3,6,16.0
eligible,expiry,component,B_BASE_BULL,3,3,0,3,0,3,2,0,66.66666666666666,0.0,5.646107652507134,2.3220694289607158,12.623736615168587,-3.135588522160345,3,3,0,1.0
eligible,expiry,component,B_STAGE_COMPONENT,3,3,0,3,0,2,0,3,0.0,100.0,-17.775163219830805,-12.724066906124287,2.7574206309964873,-23.12791285116636,1,1,2,2.0
eligible,expiry,component,B_BEAR_RECOVER,2,2,0,2,0,2,2,0,100.0,0.0,32.94492518422728,32.94492518422728,39.422790786711346,-14.389123162258704,1,1,1,16.0
eligible,expiry,component,B_CRASH_RECOVER,6,6,0,5,1,4,1,3,20.0,60.0,-7.266000960748654,-8.186947013618662,10.253314700246122,-17.207728338163502,2,2,4,34.5
eligible,expiry,component,multiple,0,0,0,0,0,0,0,0,,,,,,,0,0,0,
eligible,expiry,component,none,0,0,0,0,0,0,0,0,,,,,,,0,0,0,
eligible,recovery,all,all,14,7,7,7,0,7,3,2,42.857142857142854,28.57142857142857,-0.6421738566176547,-4.4518593724714,10.410617305867687,-11.961852533270475,7,7,7,2.0
eligible,recovery,symbol,TQQQ,0,0,0,0,0,0,0,0,,,,,,,0,0,0,
eligible,recovery,symbol,MSFT,0,0,0,0,0,0,0,0,,,,,,,0,0,0,
eligible,recovery,symbol,NFLX,4,2,2,2,0,1,1,1,50.0,50.0,-5.4529966650391675,-5.4529966650391675,7.318487570652888,-13.629417845822257,2,2,2,2.5
eligible,recovery,symbol,YINN,2,1,1,1,0,1,1,0,100.0,0.0,15.351437263549016,15.351437263549016,24.559971406890035,-9.41834916053984,1,1,1,16.0
eligible,recovery,symbol,SNOW,0,0,0,0,0,0,0,0,,,,,,,0,0,0,
eligible,recovery,symbol,TSLA,2,1,1,1,0,1,0,0,0.0,0.0,-5.389455984545766,-5.389455984545766,9.748235379849902,-7.718330193836442,1,1,1,1.0
eligible,recovery,symbol,MRNA,2,0,2,0,0,1,0,0,,,,,,,0,0,2,
eligible,recovery,symbol,NVDA,1,1,0,1,0,1,1,0,100.0,0.0,16.2852640405438,16.2852640405438,16.523884758439934,-6.65613954337897,1,1,0,1.0
eligible,recovery,symbol,GOOGL,1,1,0,1,0,1,0,0,0.0,0.0,-4.4518593724714,-4.4518593724714,0.7618955668392102,-6.457535957834926,1,1,0,2.0
eligible,recovery,symbol,AAOI,2,1,1,1,0,1,0,1,0.0,100.0,-15.3846096133209,-15.3846096133209,6.64335888774894,-26.223777185658637,1,1,1,66.0
eligible,recovery,source_trusted,false,9,4,5,4,0,4,2,1,50.0,25.0,-0.001603859750179737,-1.0569691181037508,9.989710528758755,-10.78368020250482,4,4,5,2.5
eligible,recovery,source_trusted,true,5,3,2,3,0,3,1,1,33.33333333333333,33.33333333333333,-1.496267185774288,-5.389455984545766,10.971826342012925,-13.53274897429135,3,3,2,1.0
eligible,recovery,right_censored,false,7,7,0,7,0,6,3,2,42.857142857142854,28.57142857142857,-0.6421738566176547,-4.4518593724714,10.410617305867687,-11.961852533270475,7,7,0,2.0
eligible,recovery,right_censored,true,7,0,7,0,0,5,0,0,,,,,,,0,0,7,
eligible,recovery,setup_before_window,false,14,7,7,7,0,7,3,2,42.857142857142854,28.57142857142857,-0.6421738566176547,-4.4518593724714,10.410617305867687,-11.961852533270475,7,7,7,2.0
eligible,recovery,setup_before_window,true,0,0,0,0,0,0,0,0,,,,,,,0,0,0,
eligible,recovery,expiry_state,held,0,0,0,0,0,0,0,0,,,,,,,0,0,0,
eligible,recovery,expiry_state,flat_native_buy,0,0,0,0,0,0,0,0,,,,,,,0,0,0,
eligible,recovery,expiry_state,flat_uncovered,14,7,7,7,0,7,3,2,42.857142857142854,28.57142857142857,-0.6421738566176547,-4.4518593724714,10.410617305867687,-11.961852533270475,7,7,7,2.0
eligible,recovery,recovery_state,unobserved,7,0,7,0,0,5,0,0,,,,,,,0,0,7,
eligible,recovery,recovery_state,held,0,0,0,0,0,0,0,0,,,,,,,0,0,0,
eligible,recovery,recovery_state,flat_native_buy,0,0,0,0,0,0,0,0,,,,,,,0,0,0,
eligible,recovery,recovery_state,flat_uncovered,7,7,0,7,0,6,3,2,42.857142857142854,28.57142857142857,-0.6421738566176547,-4.4518593724714,10.410617305867687,-11.961852533270475,7,7,0,2.0
eligible,recovery,failure,high,4,3,1,3,0,3,1,1,33.33333333333333,33.33333333333333,-0.4701699327566106,-4.4518593724714,6.907026263893982,-9.487673978871305,3,3,1,2.0
eligible,recovery,failure,mid,1,1,0,1,0,1,0,0,0.0,0.0,-5.389455984545766,-5.389455984545766,9.748235379849902,-7.718330193836442,1,1,0,1.0
eligible,recovery,failure,both,9,3,6,3,0,5,2,1,66.66666666666666,33.33333333333333,0.7682495954973382,2.3379211362638985,14.135002323180649,-15.85053853414766,3,3,6,16.0
eligible,recovery,component,B_BASE_BULL,3,3,0,3,0,3,1,0,33.33333333333333,0.0,2.1479828945088784,-4.4518593724714,9.011338568376349,-6.944001898350113,3,3,0,1.0
eligible,recovery,component,B_STAGE_COMPONENT,3,1,2,1,0,2,0,1,0.0,100.0,-13.243914466342233,-13.243914466342233,3.435298466402803,-15.349346435400014,1,1,2,2.0
eligible,recovery,component,B_BEAR_RECOVER,2,1,1,1,0,2,1,0,100.0,0.0,15.351437263549016,15.351437263549016,24.559971406890035,-9.41834916053984,1,1,1,16.0
eligible,recovery,component,B_CRASH_RECOVER,6,2,4,2,0,4,1,1,50.0,50.0,-6.5233442385285,-6.5233442385285,8.922517781325956,-19.066633220951566,2,2,4,34.5
eligible,recovery,component,multiple,0,0,0,0,0,0,0,0,,,,,,,0,0,0,
eligible,recovery,component,none,0,0,0,0,0,0,0,0,,,,,,,0,0,0,
