symbol,episode_id,entry_date,exit_date,date,first_reference_reclaim_date,flat_bar,reference_price,reference_reclaimed,OPEN,CLOSE,MID,B_ALL_RAW,JF_RAW,B_SETUP,B_ENTRY_SIGNAL,B_SETUP_EXPIRED,B_SIGNAL,ICON_JUEFAN,S_SIGNAL,raw_b_count20,raw_b_suppressed,no_raw_buy,pending_setup_date,resolved_setup_date,resolved_setup_status,pending_setup_age,pending_B_BASE_BULL,pending_B_STAGE_COMPONENT,pending_B_BEAR_RECOVER,pending_B_CRASH_RECOVER,resolved_B_BASE_BULL,resolved_B_STAGE_COMPONENT,resolved_B_BEAR_RECOVER,resolved_B_CRASH_RECOVER
TQQQ,TQQQ:2022-02-25:2022-03-07,2022-02-25,2022-03-07,2022-03-07,,1,23.87109069817313,False,22.894261178264752,20.354690551757812,25.108167457580567,False,False,False,False,False,False,False,False,1,False,True,,,,,False,False,False,False,False,False,False,False
TQQQ,TQQQ:2022-02-25:2022-03-07,2022-02-25,2022-03-07,2022-03-08,,2,23.87109069817313,False,20.197454802740697,20.07357406616211,24.74509906768799,False,False,False,False,False,False,False,False,1,False,True,,,,,False,False,False,False,False,False,False,False
TQQQ,TQQQ:2022-02-25:2022-03-07,2022-02-25,2022-03-07,2022-03-09,,3,23.87109069817313,False,21.63162397888773,22.222442626953125,24.44301881790161,False,False,False,False,False,False,False,False,1,False,True,,,,,False,False,False,False,False,False,False,False
TQQQ,TQQQ:2022-02-25:2022-03-07,2022-02-25,2022-03-07,2022-03-10,,4,23.87109069817313,False,21.393392647039725,21.50774383544922,24.01753349304199,False,False,False,False,False,False,False,False,0,False,True,,,,,False,False,False,False,False,False,False,False
TQQQ,TQQQ:2022-02-25:2022-03-07,2022-02-25,2022-03-07,2022-03-11,,5,23.87109069817313,False,22.079499358100623,20.173629760742188,23.62492437362671,False,False,False,False,False,False,False,False,0,False,True,,,,,False,False,False,False,False,False,False,False
TQQQ,TQQQ:2022-02-25:2022-03-07,2022-02-25,2022-03-07,2022-03-14,,6,23.87109069817313,False,19.9211028458174,18.99199104309082,23.30521469116211,False,False,False,False,False,False,False,False,0,False,True,,,,,False,False,False,False,False,False,False,False
TQQQ,TQQQ:2022-02-25:2022-03-07,2022-02-25,2022-03-07,2022-03-15,,7,23.87109069817313,False,19.47322353311365,20.75015640258789,23.069839859008788,False,False,False,False,False,False,False,False,0,False,True,,,,,False,False,False,False,False,False,False,False
TQQQ,TQQQ:2022-02-25:2022-03-07,2022-02-25,2022-03-07,2022-03-16,,8,23.87109069817313,False,21.517267553439176,23.080080032348633,22.858764553070067,False,False,False,False,False,False,False,False,0,False,True,,,,,False,False,False,False,False,False,False,False
TQQQ,TQQQ:2022-02-25:2022-03-07,2022-02-25,2022-03-07,2022-03-17,,9,23.87109069817313,False,22.675087769207508,23.85196304321289,22.6865216255188,False,False,False,False,False,False,False,False,0,False,True,,,,,False,False,False,False,False,False,False,False
TQQQ,TQQQ:2022-02-25:2022-03-07,2022-02-25,2022-03-07,2022-03-18,2022-03-18,10,23.87109069817313,True,23.56608068503945,25.33377456665039,22.70939197540283,False,False,False,False,False,False,False,False,0,False,True,,,,,False,False,False,False,False,False,False,False
TQQQ,TQQQ:2022-02-25:2022-03-07,2022-02-25,2022-03-07,2022-03-21,2022-03-18,11,23.87109069817313,True,25.18607207692487,25.152719497680664,22.765377235412597,False,False,False,False,False,False,False,False,0,False,True,,,,,False,False,False,False,False,False,False,False
TQQQ,TQQQ:2022-02-25:2022-03-07,2022-02-25,2022-03-07,2022-03-22,2022-03-18,12,23.87109069817313,True,25.286129731287716,26.63929748535156,22.9328556060791,False,False,False,False,False,False,False,False,0,False,True,,,,,False,False,False,False,False,False,False,False
TQQQ,TQQQ:2022-02-25:2022-03-07,2022-02-25,2022-03-07,2022-03-23,2022-03-18,13,23.87109069817313,True,25.996064684539448,25.51483154296875,23.13320999145508,False,False,False,False,False,False,False,False,0,False,True,,,,,False,False,False,False,False,False,False,False
TQQQ,TQQQ:2022-02-25:2022-03-07,2022-02-25,2022-03-07,2022-03-24,2022-03-18,14,23.87109069817313,True,25.934125772243984,27.168176651000977,23.31093235015869,False,False,False,False,False,False,False,False,0,False,True,,,,,False,False,False,False,False,False,False,False
TQQQ,TQQQ:2022-02-25:2022-03-07,2022-02-25,2022-03-07,2022-03-25,2022-03-18,15,23.87109069817313,True,27.177705445205287,27.125293731689453,23.43052577972412,False,False,False,False,False,False,False,False,0,False,True,,,,,False,False,False,False,False,False,False,False
TQQQ,TQQQ:2022-02-25:2022-03-07,2022-02-25,2022-03-07,2022-03-28,2022-03-18,16,23.87109069817313,True,27.120529774251175,28.359346389770508,23.598718929290772,False,False,False,False,False,False,False,False,0,False,True,,,,,False,False,False,False,False,False,False,False
TQQQ,TQQQ:2022-02-25:2022-03-07,2022-02-25,2022-03-07,2022-03-29,2022-03-18,17,23.87109069817313,True,29.31227444710714,29.812564849853516,23.89722547531128,False,False,False,False,False,False,False,False,0,False,True,,,,,False,False,False,False,False,False,False,False
TQQQ,TQQQ:2022-02-25:2022-03-07,2022-02-25,2022-03-07,2022-03-30,2022-03-18,18,23.87109069817313,True,29.388512660460993,28.91680908203125,24.094006633758546,False,False,False,False,False,False,False,False,0,False,True,,,,,False,False,False,False,False,False,False,False
TQQQ,TQQQ:2022-02-25:2022-03-07,2022-02-25,2022-03-07,2022-03-31,2022-03-18,19,23.87109069817313,True,28.89298619750085,27.720876693725582,24.28316421508789,False,False,False,False,False,False,False,False,0,False,True,,,,,False,False,False,False,False,False,False,False
TQQQ,TQQQ:2022-02-25:2022-03-07,2022-02-25,2022-03-07,2022-04-01,2022-03-18,20,23.87109069817313,True,27.839992677015367,27.60175895690918,24.517586040496827,False,False,False,False,False,False,False,False,0,False,True,,,,,False,False,False,False,False,False,False,False
TQQQ,TQQQ:2022-02-25:2022-03-07,2022-02-25,2022-03-07,2022-04-04,2022-03-18,21,23.87109069817313,True,27.816169601469785,29.326570510864254,24.966180038452148,False,False,False,False,False,False,False,False,0,False,True,,,,,False,False,False,False,False,False,False,False
TQQQ,TQQQ:2022-02-25:2022-03-07,2022-02-25,2022-03-07,2022-04-05,2022-03-18,22,23.87109069817313,True,28.978747475800084,27.387346267700195,25.331868648529053,False,False,False,False,False,False,False,False,0,False,True,,,,,False,False,False,False,False,False,False,False
TQQQ,TQQQ:2022-02-25:2022-03-07,2022-02-25,2022-03-07,2022-04-06,2022-03-18,23,23.87109069817313,True,26.119948719891724,25.586305618286133,25.500061798095704,False,False,False,False,False,False,False,False,0,False,True,,,,,False,False,False,False,False,False,False,False
TQQQ,TQQQ:2022-02-25:2022-03-07,2022-02-25,2022-03-07,2022-04-07,2022-03-18,24,23.87109069817313,True,25.362361948689404,25.75306510925293,25.712327861785887,False,False,False,False,False,False,False,False,0,False,True,,,,,False,False,False,False,False,False,False,False
TQQQ,TQQQ:2022-02-25:2022-03-07,2022-02-25,2022-03-07,2022-04-08,2022-03-18,25,23.87109069817313,True,25.357600805179572,24.700075149536133,25.938650131225586,False,False,False,False,False,False,False,False,0,False,True,,,,,False,False,False,False,False,False,False,False
TQQQ,TQQQ:2022-02-25:2022-03-07,2022-02-25,2022-03-07,2022-04-11,2022-03-18,26,23.87109069817313,False,23.74237205689902,22.94667053222656,26.136384105682374,False,False,False,False,False,False,False,False,0,False,True,,,,,False,False,False,False,False,False,False,False
